ThoiGian,TongSoLuong,ChiTiet
2025-12-13 16:50:41,2,gau_bong: 2
2025-12-13 16:53:54,1,con_quay: 1
2025-12-13 16:54:08,1,lan_lon: 1
2025-12-13 16:54:18,1,lan_lon: 1
2025-12-13 17:04:04,1,oto: 1
2025-12-13 17:04:30,2,lan_lon: 1; gau_bong: 1
2025-12-13 17:04:53,2,lan_lon: 1; gau_bong: 1
2025-12-13 17:05:12,2,tau: 2
2025-12-13 17:06:39,2,lan_lon: 2
2025-12-13 17:07:54,1,con_quay: 1
2025-12-13 17:08:16,1,Lego: 1
2025-12-13 17:08:41,1,oto_canhsat: 1
2025-12-16 14:03:57,2,gau_bong: 2
2025-12-16 14:07:34,1,gau_bong: 1
2025-12-16 14:07:37,1,gau_bong: 1
2025-12-16 14:07:40,1,lan_lon: 1
2025-12-16 14:07:43,1,lan_lon: 1
2025-12-16 14:07:46,2,oto: 1; lan_lon: 1
2025-12-16 14:07:49,2,lan_lon: 1; gau_bong: 1
2025-12-16 14:07:52,2,gau_bong: 1; lan_lon: 1
2025-12-16 14:07:55,2,gau_bong: 1; lan_lon: 1
2025-12-16 14:07:58,2,lan_lon: 1; gau_bong: 1
2025-12-16 14:08:04,2,gau_bong: 1
2025-12-16 20:15:13,1,gau_bong: 1
2025-12-16 20:15:17,1,gau_bong: 1
2025-12-16 20:15:21,1,gau_bong: 1
2025-12-16 20:15:24,1,mario: 1
2025-12-16 20:15:27,1,mario: 1
2025-12-16 20:15:30,1,lan_lon: 1
2025-12-16 20:15:33,1,gau_bong: 1
2025-12-16 20:15:36,1,lan_lon: 1
2025-12-16 20:15:40,1,gau_bong: 1
2025-12-16 20:15:45,1,gau_bong: 1
2025-12-16 20:15:48,1,mario: 1
2025-12-16 20:15:51,1,gau_bong: 1
2025-12-16 20:15:58,1,gau_bong: 1
2025-12-16 20:16:01,1,gau_bong: 1
2025-12-16 20:16:04,1,gau_bong: 1
2025-12-16 20:16:07,1,lan_lon: 1
2025-12-16 20:17:50,1,lan_lon: 1
